ano_trabajo;título profesional;Categoría de Trabajo;moneda_salario;salario;salario_en_usd;residencia_empleado;nivel_de_experiencia;Tipo_de_empleo;escenario _de_trabajo;Ubicación_de_la_compañía;tamaño de la empresa
2020;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;USD;138000;138000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;S
2020;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;USD;150000;150000;Estados Unidos;Senior;Full-time;Híbrido;Estados Unidos;L
2020;Director Gerente de Ciencia de Datos;Investigación y ciencia de datos;USD;300000;300000;Estados Unidos;Ejecutivo;Full-time;Remoto;Estados Unidos;L
2020;Científico de investigación;Investigación y ciencia de datos;USD;450000;450000;Estados Unidos;Nivel medio;Full-time;En persona;Estados Unidos;M
2020;Científico de datos del personal;Investigación y ciencia de datos;USD;164000;164000;Estados Unidos;Senior;Full-time;Híbrido;Estados Unidos;M
2021;Analista de datos;Análisis de los datos;AUD;56000;42028;Australia;Nivel Básico;Full-time;Híbrido;Australia;L
2021;Ingeniero de datos;Ingeniería de datos;AUD;100000;75050;Australia;Nivel medio;Full-time;Híbrido;Australia;L
2021;Científico de datos;Investigación y ciencia de datos;EUR;52000;61467;Alemania;Nivel medio;Full-time;Híbrido;Austria;M
2021;Técnico de Vehículos Autónomos;Aprendizaje automático e IA;USD;45555;45555;American Samoa;Nivel medio;Freelance;Híbrido;Bahamas;M
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;EUR;70000;82744;Bélgica;Senior;Full-time;Híbrido;Bélgica;M
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;EUR;75000;88654;Bélgica;Nivel medio;Full-time;Remoto;Bélgica;M
2021;Ingeniero en Visión por Computador;Aprendizaje automático e IA;USD;24000;24000;Brasil;Senior;Full-time;Remoto;Brasil;M
2021;Ingeniero en Visión por Computador;Aprendizaje automático e IA;BRL;102000;18907;Brasil;Senior;Full-time;En persona;Brasil;M
2021;Arquitecto de big data;Arquitectura y modelado de datos;CAD;125000;99703;Canada;Senior;Full-time;Híbrido;Canada;M
2021;Analista de datos;Análisis de los datos;CAD;90000;71786;Canada;Senior;Full-time;Remoto;Canada;M
2021;Ingeniero de ciencias de datos;Investigación y ciencia de datos;CAD;159500;127221;Canada;Senior;Full-time;Híbrido;Canada;L
2021;Científico de datos;Investigación y ciencia de datos;CAD;95000;75774;Canada;Nivel medio;Full-time;Remoto;Canada;L
2021;Científico de datos;Investigación y ciencia de datos;CAD;130000;103691;Canada;Senior;Full-time;Remoto;Canada;L
2021;Científico de datos;Investigación y ciencia de datos;CAD;110000;87738;Canada;Senior;Full-time;Remoto;Canada;S
2021;Científico de investigación;Investigación y ciencia de datos;CAD;235000;187442;Canada;Nivel medio;Full-time;Remoto;Canada;L
2021;Científico de investigación;Investigación y ciencia de datos;CAD;80000;63810;Canada;Nivel medio;Full-time;Remoto;Canada;M
2021;Científico de investigación;Investigación y ciencia de datos;CAD;120500;96113;Canada;Senior;Full-time;Híbrido;Canada;L
2021;Científico de datos aplicados;Investigación y ciencia de datos;CAD;68000;54238;Reino Unido;Nivel medio;Full-time;Híbrido;Canada;L
2021;Científico de aprendizaje automático;Aprendizaje automático e IA;USD;225000;225000;Estados Unidos;Senior;Full-time;Remoto;Canada;L
2021;Científico de investigación;Investigación y ciencia de datos;USD;100000;100000;Jersey;Nivel Básico;Full-time;En persona;China;L
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;USD;21844;21844;Colombia;Nivel Básico;Full-time;Híbrido;Colombia;M
2021;Científico de investigación;Investigación y ciencia de datos;USD;69999;69999;República Checa;Nivel medio;Full-time;Híbrido;República Checa;L
2021;Ingeniero en Visión por Computador;Aprendizaje automático e IA;DKK;180000;28609;Dinamarca;Nivel Básico;Part-time;Híbrido;Dinamarca;S
2021;Ingeniero de software de visión por computadora;Aprendizaje automático e IA;DKK;120000;19073;Dinamarca;Nivel Básico;Part-time;Híbrido;Dinamarca;L
2021;Analista de datos de marketing;Análisis de los datos;EUR;75000;88654;Grecia;Senior;Full-time;Remoto;Dinamarca;L
2021;Analista de datos;Análisis de los datos;EUR;50000;59102;Francia;Nivel Básico;Full-time;Híbrido;Francia;M
2021;Científico de datos;Investigación y ciencia de datos;EUR;42000;49646;Francia;Nivel Básico;Full-time;Híbrido;Francia;M
2021;Científico de datos;Investigación y ciencia de datos;EUR;45000;53192;Francia;Senior;Full-time;Híbrido;Francia;L
2021;Científico de datos;Investigación y ciencia de datos;EUR;31000;36643;Francia;Nivel Básico;Full-time;Híbrido;Francia;L
2021;Científico de datos;Investigación y ciencia de datos;EUR;65720;77684;Francia;Senior;Full-time;Híbrido;Francia;M
2021;Ingeniero de investigación de aprendizaje automático;Investigación y ciencia de datos;USD;20000;20000;Francia;Nivel Básico;Full-time;Híbrido;Francia;M
2021;Científico de investigación;Investigación y ciencia de datos;EUR;53000;62649;Francia;Nivel medio;Full-time;Híbrido;Francia;M
2021;Científico de investigación;Investigación y ciencia de datos;EUR;48000;56738;Francia;Nivel medio;Full-time;Híbrido;Francia;S
2021;Gerente de ciencia de datos;Investigación y ciencia de datos;USD;152000;152000;Estados Unidos;Senior;Full-time;Remoto;Francia;L
2021;Analista de datos;Análisis de los datos;EUR;54000;63831;Alemania;Senior;Full-time;Híbrido;Alemania;L
2021;Ingeniero de analisis de datos;Liderazgo y gestión;EUR;67000;79197;Alemania;Senior;Full-time;Remoto;Alemania;L
2021;Ingeniero de datos;Ingeniería de datos;EUR;55000;65013;Alemania;Nivel Básico;Full-time;Híbrido;Alemania;M
2021;Consultor de ciencias de datos;Investigación y ciencia de datos;EUR;54000;63831;Alemania;Nivel Básico;Full-time;Híbrido;Alemania;L
2021;Consultor de ciencias de datos;Investigación y ciencia de datos;EUR;65000;76833;Alemania;Nivel Básico;Full-time;Remoto;Alemania;S
2021;Consultor de ciencias de datos;Investigación y ciencia de datos;EUR;65000;76833;Alemania;Nivel Básico;Full-time;En persona;Alemania;L
2021;Científico de datos;Investigación y ciencia de datos;EUR;76760;90734;Alemania;Nivel medio;Full-time;Híbrido;Alemania;L
2021;Científico de datos;Investigación y ciencia de datos;EUR;75000;88654;Alemania;Nivel medio;Full-time;Híbrido;Alemania;L
2021;Científico de datos;Investigación y ciencia de datos;EUR;76760;90734;Alemania;Nivel medio;Full-time;Híbrido;Alemania;L
2021;Director de Ciencia de Datos;Investigación y ciencia de datos;EUR;110000;130026;Alemania;Ejecutivo;Full-time;Híbrido;Alemania;M
2021;Director de Ciencia de Datos;Investigación y ciencia de datos;EUR;120000;141846;Alemania;Ejecutivo;Full-time;En persona;Alemania;L
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;EUR;80000;94564;Alemania;Senior;Full-time;Híbrido;Alemania;L
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;EUR;21000;24823;Alemania;Nivel Básico;Full-time;Híbrido;Alemania;M
2021;Científico de datos principal;Investigación y ciencia de datos;EUR;147000;173762;Alemania;Senior;Full-time;Remoto;Alemania;M
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;USD;85000;85000;Países Bajos;Nivel Básico;Full-time;Remoto;Alemania;S
2021;Científico de datos;Investigación y ciencia de datos;EUR;21600;25532;Serbia;Nivel medio;Full-time;Remoto;Alemania;S
2021;Científico de IA;Aprendizaje automático e IA;USD;30000;30000;Ghana;Nivel medio;Full-time;En persona;Ghana;S
2021;Ingeniero de ciencias de datos;Investigación y ciencia de datos;EUR;34000;40189;Grecia;Nivel medio;Full-time;Remoto;Grecia;M
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;USD;20000;20000;India;Nivel Básico;Full-time;Remoto;India;S
2021;Desarrollador de aprendizaje automático;Aprendizaje automático e IA;USD;100000;100000;Iraq;Nivel Básico;Full-time;Híbrido;Iraq;S
2021;Científico de datos;Investigación y ciencia de datos;SGD;160000;119059;Singapur;Nivel medio;Full-time;Remoto;Israel;M
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;EUR;43200;51064;Italia;Nivel medio;Full-time;Híbrido;Italia;L
2021;Director de Ciencia de Datos;Investigación y ciencia de datos;USD;168000;168000;Japón;Senior;Full-time;En persona;Japón;S
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;USD;74000;74000;Japón;Nivel medio;Full-time;Híbrido;Japón;S
2021;Analista de datos empresariales;Análisis de los datos;EUR;50000;59102;Luxemburgo;Nivel Básico;Full-time;Remoto;Luxemburgo;L
2021;Ingeniero de datos;Ingeniería de datos;EUR;24000;28369;Malta;Nivel medio;Full-time;Híbrido;Malta;L
2021;Ingeniero de big data;Ingeniería de datos;USD;18000;18000;Moldavia;Nivel medio;Full-time;En persona;Moldavia;S
2021;Ingeniero de datos;Ingeniería de datos;EUR;59000;69741;Países Bajos;Nivel medio;Part-time;Remoto;Países Bajos;L
2021;Ingeniero de datos;Ingeniería de datos;EUR;38400;45391;Países Bajos;Nivel medio;Full-time;Remoto;Países Bajos;L
2021;Científico de datos;Investigación y ciencia de datos;USD;50000;50000;Nigeria;Nivel medio;Full-time;Remoto;Nigeria;L
2021;Desarrollador de aprendizaje automático;Aprendizaje automático e IA;USD;60000;60000;Nigeria;Senior;Freelance;Remoto;Nigeria;M
2021;Analista de datos;Análisis de los datos;USD;50000;50000;Filipinas;Senior;Full-time;Remoto;Filipinas;S
2021;Director de Ciencia de Datos;Investigación y ciencia de datos;EUR;130000;153667;Italia;Ejecutivo;Full-time;Remoto;Polonia;L
2021;Ingeniero de datos;Ingeniería de datos;PLN;110000;28476;Polonia;Nivel medio;Full-time;Remoto;Polonia;L
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;PLN;180000;46597;Polonia;Nivel medio;Full-time;Remoto;Polonia;L
2021;Científico de investigación;Investigación y ciencia de datos;EUR;51400;60757;Portugal;Senior;Full-time;Híbrido;Portugal;L
2021;Ingeniero de big data;Ingeniería de datos;USD;60000;60000;España;Nivel medio;Full-time;Híbrido;Rumania;M
2021;Jefe de Datos;Liderazgo y gestión;USD;230000;230000;Rusia;Ejecutivo;Full-time;Híbrido;Rusia;L
2021;Jefe de Ciencia de Datos;Investigación y ciencia de datos;USD;85000;85000;Rusia;Ejecutivo;Full-time;En persona;Rusia;M
2021;Ingeniero de datos en la nube;Ingeniería de datos;SGD;120000;89294;Singapur;Nivel medio;Full-time;Híbrido;Singapur;L
2021;Ingeniero de datos de marketing;Ingeniería de datos;SGD;90000;66970;Singapur;Nivel Básico;Full-time;Híbrido;Singapur;L
2021;Jefe de Datos;Liderazgo y gestión;EUR;87000;102839;Eslovenia;Senior;Full-time;Remoto;Eslovenia;L
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;EUR;21000;24823;Eslovenia;Nivel medio;Full-time;Híbrido;Eslovenia;L
2021;Consultor de ciencias de datos;Investigación y ciencia de datos;EUR;59000;69741;Francia;Ejecutivo;Full-time;Remoto;España;S
2021;Científico de IA;Aprendizaje automático e IA;USD;55000;55000;España;Senior;Full-time;Remoto;España;L
2021;Científico de datos;Investigación y ciencia de datos;EUR;32000;37825;España;Nivel medio;Full-time;Remoto;España;L
2021;Científico de datos;Investigación y ciencia de datos;EUR;39600;46809;España;Nivel medio;Full-time;Remoto;España;M
2021;Ingeniero de aprendizaje automático;Aprendizaje automático e IA;EUR;40000;47282;España;Nivel medio;Full-time;Remoto;España;S
2021;Desarrollador de aprendizaje automático;Aprendizaje automático e IA;USD;15000;15000;Tailandia;Nivel Básico;Full-time;Remoto;Tailandia;L
2021;Ingeniero de datos;Ingeniería de datos;TRY;250000;28016;Turkey;Nivel medio;Full-time;Remoto;Turkey;M
2021;Científico de datos;Investigación y ciencia de datos;TRY;180000;20171;Turkey;Senior;Full-time;Híbrido;Turkey;L
2021;Ingeniero de datos;Ingeniería de datos;GBP;48000;66022;Hong Kong;Nivel medio;Full-time;Híbrido;Reino Unido;S
2021;Ingeniero de datos;Ingeniería de datos;EUR;65000;76833;Rumania;Senior;Full-time;Híbrido;Reino Unido;S
2021;Científico de datos aplicados;Investigación y ciencia de datos;GBP;80000;110037;Reino Unido;Nivel Básico;Full-time;En persona;Reino Unido;L
2021;Analista de datos;Análisis de los datos;GBP;37456;51519;Reino Unido;Nivel medio;Full-time;Híbrido;Reino Unido;L
2021;Ingeniero de datos;Ingeniería de datos;GBP;33000;45390;Reino Unido;Nivel Básico;Full-time;Híbrido;Reino Unido;L
2021;Ingeniero de datos;Ingeniería de datos;GBP;60000;82528;Reino Unido;Nivel medio;Full-time;Remoto;Reino Unido;L
2021;Ingeniero de datos;Ingeniería de datos;GBP;82500;113476;Reino Unido;Senior;Full-time;Remoto;Reino Unido;M
2021;Ingeniero de datos;Ingeniería de datos;GBP;70000;96282;Reino Unido;Senior;Full-time;Híbrido;Reino Unido;L
2021;Ingeniero de datos;Ingeniería de datos;GBP;52500;72212;Reino Unido;Nivel medio;Full-time;Híbrido;Reino Unido;L
2021;Científico de datos;Investigación y ciencia de datos;GBP;40900;56256;Reino Unido;Nivel medio;Full-time;Híbrido;Reino Unido;L
2021;Científico de datos;Investigación y ciencia de datos;GBP;85000;116914;Reino Unido;Nivel medio;Full-time;Híbrido;Reino Unido;L
2021;Analista de datos financieros;Análisis de los datos;GBP;45000;61896;Reino Unido;Senior;Full-time;Híbrido;Reino Unido;L
2021;Ingeniero líder de datos;Ingeniería de datos;GBP;75000;103160;Reino Unido;Senior;Full-time;Remoto;Reino Unido;S
2021;Científico de investigación;Investigación y ciencia de datos;GBP;60000;82528;Reino Unido;Nivel Básico;Full-time;Híbrido;Reino Unido;L
2021;Ingeniero de analisis de datos;Liderazgo y gestión;USD;50000;50000;Vietnam;Senior;Full-time;Remoto;Reino Unido;M
2021;Ingeniero de datos en la nube;Ingeniería de datos;USD;160000;160000;Brasil;Senior;Full-time;Remoto;Estados Unidos;S
2021;Analista de datos;Análisis de los datos;USD;80000;80000;Bulgaria;Senior;Full-time;Remoto;Estados Unidos;S
2021;Científico de investigación;Investigación y ciencia de datos;USD;50000;50000;Francia;Senior;Full-time;Remoto;Estados Unidos;S
2021;Ingeniero de software de visión por computadora;Aprendizaje automático e IA;EUR;81000;95746;Alemania;Nivel medio;Full-time;Remoto;Estados Unidos;S
2021;Analista de datos empresariales;Análisis de los datos;USD;56000;56000;Ghana;Nivel medio;Part-time;Remoto;Estados Unidos;M
2021;Analista de datos BI;Análisis de los datos;USD;150000;150000;India;Ejecutivo;Full-time;Remoto;Estados Unidos;L
2021;Ingeniero de datos;Ingeniería de datos;USD;20000;20000;Italia;Nivel medio;Freelance;En persona;Estados Unidos;L
2021;Ingeniero líder de datos;Ingeniería de datos;USD;160000;160000;Puerto Rico;Senior;Full-time;Híbrido;Estados Unidos;S
2021;Ingeniero de datos;Ingeniería de datos;EUR;22000;26005;Rumania;Nivel medio;Full-time;En persona;Estados Unidos;L
2021;Analista de datos BI;Análisis de los datos;USD;55000;55000;Estados Unidos;Nivel Básico;Full-time;Híbrido;Estados Unidos;S
2021;Analista de datos BI;Análisis de los datos;USD;100000;100000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;M
2021;Científico de aprendizaje automático aplicado;Aprendizaje automático e IA;USD;423000;423000;Estados Unidos;Nivel medio;Full-time;Híbrido;Estados Unidos;L
2021;Arquitecto de datos en la nube;Arquitectura y modelado de datos;USD;250000;250000;Estados Unidos;Senior;Full-time;Híbrido;Estados Unidos;L
2021;Ingeniero de software de visión por computadora;Aprendizaje automático e IA;USD;70000;70000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;M
2021;Analista de datos;Análisis de los datos;USD;115000;115000;Estados Unidos;Senior;Full-time;Remoto;Estados Unidos;S
2021;Analista de datos;Análisis de los datos;USD;135000;135000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2021;Analista de datos;Análisis de los datos;USD;90000;90000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;M
2021;Analista de datos;Análisis de los datos;USD;50000;50000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;M
2021;Analista de datos;Análisis de los datos;USD;90000;90000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;S
2021;Analista de datos;Análisis de los datos;USD;60000;60000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;S
2021;Analista de datos;Análisis de los datos;USD;80000;80000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;M
2021;Analista de datos;Análisis de los datos;USD;93000;93000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2021;Analista de datos;Análisis de los datos;USD;80000;80000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2021;Analista de datos;Análisis de los datos;USD;200000;200000;Estados Unidos;Senior;Full-time;Remoto;Estados Unidos;L
2021;Analista de datos;Análisis de los datos;USD;75000;75000;Estados Unidos;Nivel medio;Full-time;En persona;Estados Unidos;L
2021;Analista de datos;Análisis de los datos;USD;62000;62000;Estados Unidos;Nivel medio;Full-time;En persona;Estados Unidos;L
2021;Ingeniero de analisis de datos;Liderazgo y gestión;USD;110000;110000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2021;Gerente de análisis de datos;Liderazgo y gestión;USD;120000;120000;Estados Unidos;Senior;Full-time;Remoto;Estados Unidos;M
2021;Gerente de análisis de datos;Liderazgo y gestión;USD;120000;120000;Estados Unidos;Senior;Full-time;En persona;Estados Unidos;L
2021;Gerente de análisis de datos;Liderazgo y gestión;USD;140000;140000;Estados Unidos;Senior;Full-time;Remoto;Estados Unidos;L
2021;Arquitecto de datos;Arquitectura y modelado de datos;USD;170000;170000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2021;Arquitecto de datos;Arquitectura y modelado de datos;USD;150000;150000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2021;Arquitecto de datos;Arquitectura y modelado de datos;USD;180000;180000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2021;Ingeniero de datos;Ingeniería de datos;USD;150000;150000;Estados Unidos;Senior;Full-time;En persona;Estados Unidos;L
2021;Ingeniero de datos;Ingeniería de datos;USD;200000;200000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2021;Ingeniero de datos;Ingeniería de datos;USD;100000;100000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2021;Ingeniero de datos;Ingeniería de datos;USD;80000;80000;Estados Unidos;Nivel Básico;Full-time;Remoto;Estados Unidos;L
2021;Ingeniero de datos;Ingeniería de datos;USD;153000;153000;Estados Unidos;Senior;Full-time;Remoto;Estados Unidos;L
2021;Ingeniero de datos;Ingeniería de datos;USD;90000;90000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
2021;Ingeniero de datos;Ingeniería de datos;USD;140000;140000;Estados Unidos;Nivel medio;Full-time;Remoto;Estados Unidos;L
